Household_ID;era;visit_status;technician_recoverable_envelope_kwh;not_recoverable_by_visit_kwh;slope_excess_pct;max_filter_prob;named_fault;has_named_fault;fault_axis_available;advisory_night_setback_prob;in_training_set;rank_in_era;beta_meas;beta_phys;n_days
120701;1976_1990;NO_SLOPE_EXCESS;-776.0;1811.0;-21.53626508441212;;;False;False;;;;2.0988570311435475;2.674938980920957;576
706646;2001_2010;SLOPE_EXCESS;1665.0;2453.0;72.92936957956856;;;False;False;;;11.0;3.173963436284272;1.8354102857142855;939
1078861;pre1975;SLOPE_EXCESS;229.0;317.0;51.75615429192378;;;False;False;;;12.0;4.314783266532369;2.843234455080017;393
190821;post2010;SLOPE_EXCESS;466.0;-70.0;40.336036713675234;;;False;False;;;9.0;1.2099779114339482;0.8622004296035818;1292
105898;1976_1990;SLOPE_EXCESS;2328.0;1138.0;92.90136198442104;;;False;False;;;11.0;3.9325606832652684;2.0386381116287127;789
1178890;2001_2010;SLOPE_EXCESS;540.0;433.0;25.399267750860492;;;False;False;;;31.0;2.325624723883198;1.8545759999999998;180
731201;1976_1990;SLOPE_EXCESS;2253.0;2511.0;42.164490901796384;;;False;False;;;12.0;4.642129551334249;3.2653228115457567;539
1228011;2001_2010;SLOPE_EXCESS;1431.0;1722.0;106.62698253759011;;;False;False;;;15.0;2.28786584259845;1.1072444723826114;678
114117;1991_2000;SLOPE_EXCESS;887.0;1775.0;37.49051243587323;;;False;False;;;11.0;3.653828438164966;2.6575131428571432;340
8627071;2001_2010;SLOPE_EXCESS;377.0;2016.0;19.237084709863304;;;False;False;;;33.0;2.4159296246961195;2.0261562336707093;270
867211;1991_2000;NO_SLOPE_EXCESS;-1271.0;2413.0;-38.49404076838008;;;False;False;;;;1.6672409643647808;2.7106982562230493;718
1114677;post2010;SLOPE_EXCESS;6162.0;1261.0;209.90874600104067;;;False;False;;;1.0;4.655557176406488;1.5022348470252125;500
611797;1976_1990;SLOPE_EXCESS;3342.0;2249.0;97.80056887462865;;;False;False;;;5.0;5.380254593617449;2.72004;1130
1137376;1976_1990;SLOPE_EXCESS;1751.0;3897.0;60.42744786582266;;;False;False;;;13.0;3.9526931645097845;2.4638509289356234;1678
700831;1976_1990;SLOPE_EXCESS;2608.0;5045.0;35.46004397348223;;;False;False;;;10.0;7.590253863334642;5.6033156646697355;836
1191127;2001_2010;SLOPE_EXCESS;1673.0;248.0;129.04931510495686;;;False;False;;;10.0;3.335937778736931;1.456427746665957;296
121798;1976_1990;SLOPE_EXCESS;2681.0;2299.0;105.82076948150309;;;False;False;;;7.0;4.465707243237355;2.1697068058229583;424
114671;pre1975;NO_SLOPE_EXCESS;-147.0;2860.0;-3.4800898479616866;;;False;False;;;;4.171429369424385;4.321833042378037;571
1121037;2001_2010;SLOPE_EXCESS;3008.0;268.0;228.3885244457503;;;False;False;;;3.0;3.579226507414922;1.089936535832332;683
9880798;1991_2000;SLOPE_EXCESS;2689.0;2550.0;152.49652203700776;;;False;False;;;3.0;3.4283646734958775;1.3577868898302652;587
680861;1991_2000;SLOPE_EXCESS;5504.0;1007.0;170.41727263771958;0.8334911657121945;heating curve too high;True;True;0.9306620751763142;False;1.0;7.647292762447581;2.8279601697975587;543
468185;1976_1990;NO_SLOPE_EXCESS;-145.0;2853.0;-3.7099906080070606;;;False;False;;;;2.8105805320085757;2.9188703477707745;1555
781007;1976_1990;NO_SLOPE_EXCESS;-890.0;1481.0;-29.911756792676485;;;False;False;;;;1.5450944969378795;2.2044988235294114;1552
761079;1976_1990;SLOPE_EXCESS;782.0;2717.0;17.313603170682153;0.8955119054562302;heating curve too high;True;True;0.6664103978345439;True;32.0;4.150210240169409;3.5377058823529413;1377
461089;1976_1990;NO_SLOPE_EXCESS;-816.0;1677.0;-24.468204576688713;0.7464825177963204;heating curve too high;True;True;0.7018431183992511;False;;2.0183483867401217;2.6721837809209568;1426
114109;1976_1990;SLOPE_EXCESS;1412.0;2034.0;41.54157146749576;;;False;False;;;17.0;3.9003528472574818;2.7556235294117646;1442
107114;1976_1990;SLOPE_EXCESS;788.0;1132.0;31.904272153426604;0.7250348964974463;heating curve too high;True;True;0.6914704794498184;True;31.0;2.6350629314162517;1.9977085566654242;1415
671048;2001_2010;SLOPE_EXCESS;1044.0;1412.0;44.20865193636086;;;False;False;;;20.0;2.778830816592672;1.9269515242531823;712
