Household_ID;n_paired;other_per_day;neg_other_days;residents;dhw_electric;pv_level;building_type;measured_other_kwh_yr;pred_appliance;pred_dhw_electric;pred_other_kwh_yr;pred_other_lo;pred_other_hi;ratio_meas_pred;inside_band
108511;804;13.841503731343282;0;5;False;False;single family house;5052.148861940298;4591.5;0.0;4591.5;4710.094013047342;5873.114299591175;1.1003264427616897;True
114109;1441;18.760405968077723;0;1;False;False;single family house;6847.548178348369;2267.5;0.0;2267.5;1686.4927292189464;3198.899198335637;3.0198668923256315;False
114671;571;6.738381786339755;0;4;False;Unknown;single family house;2459.5093520140103;4048.0;0.0;4048.0;4061.8569101281996;5174.622309622989;0.6075863023750026;False
610891;824;20.150032766990293;0;4;True;False;single family house;7354.761959951457;4048.0;3401.8;7449.8;7301.747010096634;8784.717688750668;0.9872428736276755;True
611797;1130;5.111699115044248;0;2;True;Unknown;single family house;1865.7701769911505;2861.0;1700.9;4561.9;4178.848077342;5579.437081342349;0.40898971415225027;False
671048;712;12.882198033707866;0;2;True;Unknown;single family house;4702.0022823033705;2861.0;1700.9;4561.9;4212.970699539973;5622.669582243438;1.0307113883038583;True
680861;542;20.33008302583026;0;2;False;False;single family house;7420.480304428044;2861.0;0.0;2861.0;2523.344746349141;3839.605372272296;2.593666656563455;False
730976;335;16.65307462686567;0;3;False;True;single family house;6078.37223880597;3454.5;0.0;3454.5;3320.3040611352417;4465.882518124777;1.759551957969596;False
761079;1377;6.425502541757443;0;2;False;False;single family house;2345.308427741467;2861.0;0.0;2861.0;2525.539170086701;3924.7505216996815;0.8197512854741233;False
778721;989;15.257032355915065;0;2;False;False;single family house;5568.816809908999;2861.0;0.0;2861.0;2506.2230327343004;3817.1472578371445;1.9464581649454733;False
816910;476;7.390144957983193;0;3;True;False;single family house;2697.402909663865;3454.5;2551.35;6005.85;5770.696755448937;7165.705107550569;0.44912925059131764;False
876511;412;18.844065533980583;0;8;True;Unknown;other;6878.083919902912;6222.0;6803.6;13025.6;12946.924662247673;15292.469144305447;0.5280435388698342;False
897731;212;20.44873113207547;0;2;False;False;single family house;7463.786863207546;2861.0;0.0;2861.0;2596.6445321941787;3842.398715831348;2.608803517374186;False
998988;187;3.9989839572192523;0;2;False;True;single family house;1459.629144385027;2861.0;0.0;2861.0;2571.2000604729496;3833.5022839463268;0.5101814555697404;False
5610182;386;10.583432642487047;0;2;True;False;single family house;3862.952914507772;2861.0;1700.9;4561.9;4122.790984213413;5577.793299866931;0.8467859695538641;False
5661171;577;28.63058058925477;0;4;False;Unknown;single family house;10450.161915077992;4048.0;0.0;4048.0;4073.5356789324933;5162.300369433948;2.5815617379145235;False
7069411;996;16.333683734939758;0;4;False;False;single family house;5961.794563253012;4048.0;0.0;4048.0;4080.0445835753744;5165.312067075137;1.4727753367719891;False
7412010;783;16.096403575989783;0;5;False;Unknown;single family house;5875.187305236271;4591.5;0.0;4591.5;4710.271971927831;5897.48689229686;1.2795790711611175;True
7610179;1135;14.04395859030837;0;4;True;Unknown;multi family house;5126.044885462555;4048.0;3401.8;7449.8;7272.459391694004;8740.499299485391;0.6880781880671366;False
8627071;270;30.677044444444444;0;3;True;Unknown;other;11197.121222222222;3454.5;2551.35;6005.85;5824.742245451752;7150.267162068816;1.8643691104876448;False
