Household_ID;era;n_days;Weather_ID;hdd_raw_day;hdd_p6_day;hdd_normal_day;def_p6;def_normal;env_p6;env_normal;bin;raw_over_normal;p6_over_normal;def_ratio;rank_p6;rank_normal
120701;1976_1990;576;Hg;3.52981418578905;3.692274252917416;3.7172538605042673;1811.1505840212312;1823.4036908520143;1811.1505840212312;1823.4036908520143;548-730;0.9495757670180238;0.9932800910230375;1.0067653716587044;20.0;22.5
706646;2001_2010;939;8jB;3.790436125387785;3.4086655803846986;3.723456018059466;2452.5054593402874;2501.4278003539785;529.748937601157;578.671278614848;730-1095;1.0179886930323476;0.9154574577629024;1.0199479030015497;3.0;3.0
1078861;pre1975;393;8jB;0.5341745952723385;0.42665702497790614;3.723456018059466;317.22313877751776;2768.421322044391;285.83483017677764;2494.494069675382;365-548;0.14346203975056793;0.11458629373048557;8.727047253592696;37.0;33.0
190821;post2010;1292;Hg;3.9551401545744156;3.6723678315454187;3.7172538605042673;-70.47891725272848;-71.3403556668277;-70.4789172527288;-71.3403556668277;1095+;1.0639951703588728;0.9879249492654345;1.0122226397294132;5.0;2.0
105898;1976_1990;789;Hg;3.7449600944141364;3.3677698690774602;3.7172538605042673;1137.8167550970188;1255.8915513397126;1137.8167550970188;1255.8915513397126;730-1095;1.0074534145230831;0.9059832864416213;1.1037731213868667;49.0;55.0
1178890;2001_2010;180;Hg;3.9353222222222226;3.1432286119985804;3.7172538605042673;432.84521111821095;511.89262081923334;432.845211118211;511.89262081923334;<365;1.0586638335452216;0.8455781418092826;1.1826228121984106;25.0;24.0
731201;1976_1990;539;MqO;5.612336116264688;4.4826965784861725;5.348647862061662;2510.892816973287;2995.938106055238;2145.5022437874295;2559.962689501834;365-548;1.049299984033981;0.838099028781135;1.193176421471722;9.0;5.0
1228011;2001_2010;678;8jB;3.1753181993074255;3.321462551576805;3.723456018059466;1722.2868207015717;1756.2015128138478;280.2194293972238;314.1341215095002;548-730;0.852787889505484;0.8920375413237281;1.0196916632610944;13.0;13.0
114117;1991_2000;340;8jB;3.053833546462063;2.439164174490466;3.723456018059466;1774.511577892436;2202.6502401884377;813.133317022871;1241.2719793188726;<365;0.8201610363195894;0.6550806999357742;1.2412712701511344;8.0;7.0
8627071;2001_2010;270;z6I;3.314391975308642;2.6472779355500333;3.628140633646451;2015.7422940976749;2228.2988622719763;395.07985510841866;541.4638397445726;<365;0.9135235675739292;0.7296514118002628;1.1054482851288538;8.0;8.0
867211;1991_2000;718;8jB;3.190704069274555;3.3375565578185724;3.723456018059466;2412.948738052656;2580.784175128423;1212.7802560991702;1353.0059685663095;548-730;0.8569200371372824;0.896359871482513;1.0695561552671926;5.0;4.0
1114677;post2010;500;MqO;6.703276086956522;5.354054382553133;5.348647862061662;1261.139233965353;1261.321935096168;-180.92815733899457;-180.74545620817958;365-548;1.253265546700753;1.0010108200485248;1.0001448699127697;1.0;1.0
