Household_ID;era;area;residents;hp_type;emitter;huellzahl;u_as_built;H_as_built;H_reference;T_bal_q_int_5.0;base_used;jaz_as_built;jaz_derived;E_as_built;E_reference;deficiency_kwh_yr;term_envelope;term_emitter;term_dhw;kwh_yr_actual
661091;< 1975;162.0;2;ground-source;both;2.0;1.35;516.4398;166.1958;18.43156937168669;18;3.7642857142857147;True;12488.562274536633;3814.353308061717;8674.208966474915;7316.0782450980905;396.7524605072619;961.3782608695652;10120.150685131195
120701;1986 - 90;236.0;2;ground-source;floor_only;1.65;0.8;426.6644;219.893;17.234360307539134;17;4.25;False;6677.233937975637;3799.6817818728528;2877.552156102784;2877.552156102785;0.0;0.0;9376.204913194444
412211;1991 - 95;300.0;2;air-source;floor_only;1.65;0.55;418.62;279.525;16.41679805073814;16;3.5;False;12928.435196976588;8878.421061438126;4050.014135538462;4050.0141355384626;0.0;0.0;20799.384615384613
706646;2000 - 10;160.0;4;air-source;floor_only;1.4;0.4;167.664;138.32;15.228552342780798;15;3.5;False;5779.111555190488;3440.285810031245;2338.8257451592426;416.069223420112;0.0;1922.7565217391304;8866.578833865815
1078861;< 1975;160.0;2;ground-source;radiator_only;2.0;1.35;510.06399999999996;164.144;18.43156937168669;18;3.4;True;4115.76834725731;1608.731286550959;2507.0370607063505;2289.7346738512197;217.3023868551311;0.0;7383.37603053435
190821;> 2010;155.0;4;ground-source;floor_only;1.4;0.24000000000000002;127.7045;133.9975;13.931302342517295;14;4.25;False;2850.5320111777837;2918.1159830632396;-67.58397188545587;-67.58397188545548;0.0;0.0;4932.890530185758
105898;1981 - 85;160.0;2;air-source;floor_only;1.65;0.8;289.264;149.07999999999998;17.234360307539134;17;3.5;False;5814.097373327426;3354.841085976525;2459.256287350901;2459.256287350901;0.0;0.0;14573.819461343473
889410;2000 - 10;240.0;4;air-source;floor_only;1.4;0.4;251.49599999999998;207.48;15.228552342780798;15;3.5;False;;;;;;1922.7565217391304;
1178890;2000 - 10;210.0;1;air-source;floor_only;1.4;0.4;220.05899999999997;181.545;15.228552342780798;15;3.5;False;3680.3585333092174;3100.9486549518842;579.4098783573331;579.409878357333;0.0;0.0;9650.69936111111
731201;1976 - 80;255.0;3;air-source;both;1.65;0.8;461.0145;237.59625;17.234360307539134;17;3.1;False;12982.150052674886;6528.970351676966;6453.17970099792;5753.865153516458;699.3145474814601;0.0;23025.539461966604
1228011;2000 - 10;120.0;3;air-source;floor_only;1.4;0.4;125.74799999999999;103.74;15.228552342780798;15;3.5;False;4083.562029930958;2373.3319453454405;1710.2300845855175;268.1626932811696;0.0;1442.0673913043477;8008.770243362831
114117;1991 - 95;260.0;2;air-source;floor_only;1.65;0.55;362.804;242.255;16.41679805073814;16;3.5;False;6583.028225492832;3999.4636726999825;2583.564552792849;1622.1862919232844;0.0;961.3782608695652;22438.444779411766
758039;1986 - 90;150.0;2;air-source;floor_only;1.65;0.8;271.185;139.7625;17.234360307539134;17;3.5;False;10129.161001173468;5083.253244104924;5045.907757068544;4084.52949619898;0.0;961.3782608695652;19456.01735714286
8627071;2000 - 10;250.0;3;ground-source;both;1.4;0.4;261.97499999999997;216.12499999999997;15.228552342780798;15;3.7642857142857147;True;5542.155387902171;3294.662592965805;2247.4927949363664;523.4408895326444;281.9845140993742;1442.0673913043477;29802.074259259258
867211;1991 - 95;245.0;2;ground-source;both;1.65;0.55;341.873;228.27875;16.41679805073814;16;3.7642857142857147;True;6150.25969365538;3370.951902144941;2779.307791510439;1478.3901547680357;339.53937587283923;961.3782608695652;5272.0559331476325
1114677;> 2010;220.0;3;air-source;floor_only;1.4;0.24000000000000002;181.25799999999998;190.19;13.931302342517295;14;3.5;False;6303.036656039824;5045.844223146955;1257.192432892869;-184.87495841147856;0.0;1442.0673913043477;21916.753500000003
611797;1976 - 80;275.0;2;air-source;floor_only;1.65;0.8;497.1725;256.23125;17.234360307539134;17;3.5;False;10388.649509022887;5216.98764157641;5171.661867446477;4210.283606576915;0.0;961.3782608695652;12082.345314159293
1137376;1981 - 85;200.0;5;ground-source;floor_only;1.65;0.8;361.58;186.35;17.234360307539134;17;4.25;False;9175.851631396612;4386.315172569597;4789.536458827015;2386.090806653101;0.0;2403.445652173913;15120.536984505363
779742;< 1975;650.0;7;ground-source;radiator_only;2.0;1.35;2072.135;666.835;18.43156937168669;18;3.4;True;68068.86604438518;19446.19137566095;48622.674668724234;44408.20834654811;4214.466322176107;0.0;54420.17015503876
