Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance;rank_in_era;n_decisive_in_era
120701;1976_1990;False;236.0;25.68823263888889;3.52981418578905;576;T1;1811.1505840212312;1317.2003349696608;2435.2919713802353;4344.48377862399;3640.4482786304493;5091.325780051749;2533.3331946027583;2184.66580303194;2830.962179812033;1118.0916364105744;True;post_visit;no PV;9376.204913194446;5031.721134570456;13.0;53
706646;2001_2010;;160.0;24.291996805111822;3.790436125387785;939;T1;2452.5054593402874;2117.631448531447;2922.384014566524;5685.349451381391;5240.531639780409;6442.1897594874035;3232.843992041104;2962.560950012684;3699.161220789542;804.752566035077;True;post_visit;Unknown;8866.578833865815;3181.2293824844237;2.0;29
1078861;pre1975;True;160.0;20.22842748091603;0.5341745952723385;393;T2;317.22313877751776;262.3448775878974;508.26908864466964;1182.298112310913;1074.4544473786693;1437.7156451446074;865.0749735333952;764.2145168421404;996.3118831340599;245.92421105677226;True;post_visit;PV;7383.37603053435;6201.077918223437;29.0;29
190821;post2010;True;155.0;13.514768575851392;3.9551401545744156;1292;T1;-70.47891725272848;-244.57774763869946;66.92332697719092;2634.7492277984743;2432.0797025157176;3018.572851669894;2705.228145051203;2504.1045141203667;3161.365683047985;311.5010746158904;False;post_visit;PV;4932.890530185758;2298.1413023872833;;1
105898;1976_1990;;160.0;39.92827249683143;3.7449600944141364;789;T2;1137.8167550970188;607.2525783117782;1833.0755340902526;3245.48910142853;2712.9150304929217;4144.314846067824;2107.672346331511;1930.3225592887861;2444.474110320883;1225.8229557784744;True;post_visit;Unknown;14573.819461343473;11328.330359914944;45.0;53
1178890;2001_2010;;210.0;26.44027222222222;3.9353222222222226;180;T1;432.84521111821095;210.68544356422473;740.2459871410099;2497.4759359741633;2289.944174397644;3051.390360757194;2064.6307248559524;1959.2777800517922;2489.0196328054985;529.5605435767852;True;post_visit;Unknown;9650.69936111111;7153.223425136946;18.0;29
731201;1976_1990;;255.0;63.08366975881261;5.612336116264688;539;T2;2510.892816973287;1020.2091973462478;4710.740628173829;6451.952367859341;5091.249674901189;9010.844355579271;3941.0595508860542;3716.4525478109954;4599.51475406628;3690.5314308275806;True;post_visit;Unknown;23025.539461966604;16573.587094107264;25.0;53
1228011;2001_2010;False;120.0;21.941836283185843;3.1753181993074255;678;T1;1722.2868207015717;1489.096081023642;1971.1948001729322;3893.6999334176307;3472.7012998958435;4228.942105906819;2171.413112716059;1908.9264630460675;2349.012753535312;482.0987191492902;True;post_visit;no PV;8008.770243362833;4115.070309945202;9.0;29
114117;1991_2000;;260.0;61.47519117647058;3.053833546462063;340;T1;1774.511577892436;1564.6209942623725;2103.5023231412056;4066.870460722568;3801.8254934177103;4542.94538707512;2292.358882830132;2145.3816720609866;2573.1020995315807;538.8813288788331;True;post_visit;Unknown;22438.444779411762;18371.574318689192;7.0;17
8627071;2001_2010;;250.0;81.64951851851852;3.314391975308642;270;T2;2015.7422940976749;1637.9918808273203;2583.1214889541284;4509.136522351373;4120.822516333978;5254.411202961475;2493.394228253698;2334.2416416093356;2838.668246110955;945.1296081268081;True;post_visit;Unknown;29802.074259259258;25292.937736907887;7.0;29
867211;1991_2000;;245.0;14.443988857938718;3.190704069274555;718;T2;2412.948738052656;1833.4818447253842;3199.85693557558;5003.094690583482;4250.460816457393;6011.787750878313;2590.1459525308255;2264.2831353608067;2926.8717485056586;1366.3750908501956;True;post_visit;Unknown;5272.0559331476325;268.9612425641508;6.0;17
1114677;post2010;;220.0;60.0459;6.703276086956522;500;T1;1261.139233965353;807.6890985557728;1702.9464998741025;5487.062179213872;5118.834922712144;6257.322835290085;4225.922945248519;3959.035007052693;4865.246181811354;895.2574013183297;True;post_visit;Unknown;21916.753500000003;16429.69132078613;1.0;1
611797;1976_1990;;275.0;33.10231592920354;3.7071054828780303;1130;T2;2249.493121558602;1276.106907573464;3688.0011291160913;5118.233748506368;4302.181257790108;6913.588977457838;2868.740626947766;2700.9809725536475;3419.532555659865;2411.8942215426273;True;post_visit;Unknown;12082.345314159293;6964.111565652925;15.0;53
1137376;1976_1990;False;200.0;41.47266766467066;3.4876820446064394;1670;T1;3904.1343966079335;3476.51461805246;4774.913001335705;7164.498798128152;6751.092537976545;8458.66030978536;3260.3644015202185;3026.999171025931;3817.288141955394;1298.3983832832455;True;post_visit;no PV;15137.52369760479;7973.024899476639;2.0;53
700831;1976_1990;;450.0;76.82277751196172;3.998555786699951;836;T2;5045.256834210977;3891.7565513423674;7307.443132063217;9055.115063507332;7872.403208151935;11957.255502001308;4009.8582292963547;3652.103412143244;4778.217373295287;3415.686580720849;True;post_visit;Unknown;28040.31379186603;18985.198728358697;1.0;53
1191127;2001_2010;True;220.0;35.360010135135134;3.053555743243243;296;T1;247.89602902064917;129.88324984429536;439.10213858580204;2405.814883707223;2228.391047943315;2817.6663002056434;2157.918854686574;2009.9286624822637;2470.7499921671465;309.2188887415067;True;post_visit;PV;12906.403699324324;10500.588815617102;26.0;29
121798;1976_1990;;207.0;28.344919811320754;4.00597084358764;424;T2;2298.5570235149207;1902.7598581979914;3193.5434858685007;4234.846089608674;3871.249762990021;5288.851435466214;1936.2890660937537;1820.6491463656814;2220.1393374458908;1290.7836276705093;True;post_visit;Unknown;10345.895731132076;6111.049641523401;9.0;53
114671;pre1975;;260.0;35.04106479859895;2.5519838066956013;571;T3;2859.8534194090025;1447.838872343892;4384.249726681994;5690.00111202407;4134.648363725846;7301.260655449871;2830.147692615067;2471.2132357393625;3077.6788062185833;2936.4108543381017;True;post_visit;Unknown;12789.988651488618;7099.987539464549;19.0;29
1121037;2001_2010;;150.0;39.68100585651538;3.165213380864473;683;T1;267.8043028266002;118.92151168404983;407.0435423194498;2796.2054272577234;2415.053636520435;3050.5099225132276;2528.401124431123;2223.2342188587427;2767.002020192088;288.12203063539994;True;post_visit;Unknown;14483.567137628112;11687.361710370387;29.0;29
9880798;1991_2000;False;150.0;42.82197326203209;3.228697344286858;561;T1;2517.6114573616987;2159.153885601671;2798.5708849035987;5075.562832359215;4493.478650903096;5461.140599846002;2557.951374997516;2214.46660281966;2788.8546755487587;639.4169993019277;True;post_visit;no PV;15630.020240641712;10554.457408282498;3.0;17
680861;1991_2000;False;400.0;54.178261061946905;3.042729302937027;452;T1;782.178945855198;606.8393042396249;1150.9428775259566;3248.0854817872705;3067.1322932457774;3894.364687783218;2465.9065359320725;2339.920317339272;2829.6486802554055;544.1035732863318;True;post_visit;no PV;19775.06528761062;16526.97980582335;14.0;17
468185;1976_1990;False;300.0;20.769166781056967;3.6713260521420827;1457;T3;2723.7748039304133;1910.6096565648768;4491.515744719488;5332.641442866752;4591.808238085818;7372.995491775115;2608.866638936339;2467.6441463454157;3167.0089781275005;2580.906088154611;True;post_visit;no PV;7580.745875085793;2248.104432219041;8.0;53
781007;1976_1990;False;200.0;18.984233631977947;3.705080673997942;1451;T1;1378.0746631577308;1109.6533150918433;1945.808023772329;3507.64038836178;3260.748005163835;4252.089982212149;2129.565725204049;1991.3916749071993;2467.7694055256597;836.1547086804858;True;post_visit;no PV;6929.24527567195;3421.6048873101704;22.0;53
761079;1976_1990;False;250.0;28.907378358750908;3.765477061033753;1377;T2;2716.7314938580525;2018.2252156293603;4144.719212445626;5254.117725453298;4550.2424135501915;6991.561717897863;2537.386231595245;2389.5800438959923;2961.089784372052;2126.4939968162657;True;post_visit;no PV;10551.193100944081;5297.075375490784;7.0;53
