Household_ID;drop_reason
661091;"no_footprint;no_storeys"
1194992;"no_footprint;no_storeys;no_emitter"
118117;hp_type_unsupported
7099511;no_era
998988;"no_footprint;no_storeys"
778721;"no_footprint;no_storeys"
728210;"no_footprint;no_storeys;no_era"
121887;no_emitter
461158;"no_footprint;no_storeys"
757271;"no_footprint;no_storeys"
1171127;"no_footprint;no_storeys"
417510;"no_footprint;no_storeys"
122671;"no_footprint;no_storeys"
100120;"no_footprint;no_storeys"
731027;"no_footprint;no_storeys"
7679818;"no_footprint;no_storeys"
751108;"no_footprint;no_storeys"
816571;"no_footprint;no_storeys"
9073879;"no_footprint;no_storeys"
461222;"no_footprint;no_storeys"
111901;"no_footprint;no_storeys"
7146661;"no_footprint;no_storeys"
8280779;"no_footprint;no_storeys"
970979;"no_footprint;no_storeys"
