Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance
120701;1976_1990;False;236.0;25.68823263888889;3.52981418578905;576;T1;1811.1505840212312;1367.0525838550109;2468.182691865485;4344.48377862399;3652.5851889384294;5180.034582371412;2533.3331946027583;2174.818298518848;2843.1083520288635;1101.1301080104743;True;all_days;;;
706646;2001_2010;;160.0;24.291996805111822;3.790436125387785;939;T1;2452.5054593402874;2114.4391172420947;2890.5567337552625;5685.349451381391;5254.217688656631;6361.139443417697;3232.843992041104;2950.522854005015;3685.8266868876763;776.1176165131678;True;all_days;;;
1078861;pre1975;True;160.0;20.22842748091603;0.5341745952723385;393;T2;317.22313877751776;257.49611375658515;522.0831158233327;1182.298112310913;1081.9240400310116;1447.0562240346908;865.0749735333952;763.9932864935582;993.4316263743884;264.5870020667476;True;all_days;;;
190821;post2010;True;155.0;13.514768575851392;3.9551401545744156;1292;T1;-70.47891725272848;-239.40498736514385;88.73608982949298;2634.7492277984743;2442.084382715611;3064.4419654932153;2705.228145051203;2504.4469225045727;3113.116030755011;328.14107719463686;False;all_days;;;
105898;1976_1990;;160.0;39.92827249683143;3.7449600944141364;789;T2;1137.8167550970188;643.373459048798;1875.7942342753197;3245.48910142853;2709.933968036855;4132.05830552855;2107.672346331511;1912.922602441095;2428.4639160543193;1232.4207752265215;True;all_days;;;
1178890;2001_2010;;210.0;26.44027222222222;3.9353222222222226;180;T1;432.84521111821095;233.30921534565874;765.7370800989696;2497.4759359741633;2323.024207952029;3081.6545055525694;2064.6307248559524;1932.5242963880667;2472.549381543793;532.4278647533108;True;all_days;;;
731201;1976_1990;;255.0;63.08366975881261;5.612336116264688;539;T2;2510.892816973287;1026.808857688496;4812.811316004488;6451.952367859341;5024.452722683751;9168.26216229467;3941.0595508860542;3682.8203150677145;4631.248849515327;3786.002458315992;True;all_days;;;
1228011;2001_2010;False;120.0;21.941836283185843;3.1753181993074255;678;T1;1722.2868207015717;1479.2362336658566;1964.2203986885786;3893.6999334176307;3448.821655975587;4189.358075295654;2171.413112716059;1901.4235892037384;2355.0702546495245;484.984165022722;True;all_days;;;
114117;1991_2000;;260.0;61.47519117647058;3.053833546462063;340;T1;1774.511577892436;1557.4862075765795;2087.9957748767224;4066.870460722568;3792.945967147613;4598.87555229138;2292.358882830132;2157.254206438733;2618.1887603150376;530.5095673001429;True;all_days;;;
8627071;2001_2010;;250.0;81.64951851851852;3.314391975308642;270;T2;2015.7422940976749;1628.8880258084532;2495.7049559812394;4509.136522351373;4084.737939710759;5187.770586368093;2493.394228253698;2303.0083047424882;2834.979088701717;866.8169301727862;True;all_days;;;
