household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_in_era;phys_n_excess_confirmed_in_era;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_rank_on;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_completeness_tier;phys_jaz_derived;phys_geometry_reconciles;phys_hdd_correction_extrapolated;phys_pv_level;phys_n_meter_days;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_pct;visit_fault_axis_available;visit_fault_probability;visit_named_fault;visit_advisory_night_setback_prob;visit_in_training_set;visit_rank_in_era;visit_never_sum_with_phys_deficiency;setting_fault_flag;setting_fault_name
661091;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
120701;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;1976_1990;15.0;62.0;1811.0;1367.0;2468.0;1101.0;phys_deficiency_lo_kwh_yr;71.5;54.0;97.4;1811.0;0.0;0.0;0.0;0.0;0.0;True;4344.0;2533.0;True;T1;False;True;False;no PV;576.0;NO_SLOPE_EXCESS;-776.0;-21.5;False;;;;;;True;;
412211;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
706646;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;2001_2010;2.0;35.0;2453.0;2114.0;2891.0;776.0;phys_deficiency_lo_kwh_yr;75.9;65.4;89.4;530.0;0.0;1923.0;0.0;0.0;0.0;True;5685.0;3233.0;True;T1;False;True;False;Unknown;939.0;SLOPE_EXCESS;1665.0;72.9;False;;;;;11.0;True;;
1078861;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;37.0;37.0;317.0;257.0;522.0;265.0;phys_deficiency_lo_kwh_yr;36.7;29.8;60.4;286.0;31.0;0.0;0.0;0.0;0.0;True;1182.0;865.0;True;T2;True;True;False;PV;393.0;SLOPE_EXCESS;229.0;51.8;False;;;;;12.0;True;;
190821;physical_baseline_v1;2026-09-10T23:31:55Z;INCONCLUSIVE;band straddles zero - the excess cannot be resolved at this precision;band straddles zero;False;False;post2010;;1.0;-70.0;-239.0;89.0;328.0;phys_deficiency_lo_kwh_yr;-2.6;-8.8;3.3;-70.0;0.0;0.0;;;;True;2635.0;2705.0;True;T1;False;True;False;PV;1292.0;SLOPE_EXCESS;466.0;40.3;False;;;;;9.0;True;;
105898;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;55.0;62.0;1138.0;643.0;1876.0;1232.0;phys_deficiency_lo_kwh_yr;54.0;30.5;89.0;1138.0;0.0;0.0;15.0;30.0;46.0;True;3245.0;2108.0;True;T2;False;True;False;Unknown;789.0;SLOPE_EXCESS;2328.0;92.9;False;;;;;11.0;True;;
889410;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
1178890;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;2001_2010;25.0;35.0;433.0;233.0;766.0;532.0;phys_deficiency_lo_kwh_yr;21.0;11.3;37.1;433.0;0.0;0.0;51.0;102.0;153.0;True;2497.0;2065.0;True;T1;False;True;True;Unknown;180.0;SLOPE_EXCESS;540.0;25.4;False;;;;;31.0;True;;
731201;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;31.0;62.0;2511.0;1027.0;4813.0;3786.0;phys_deficiency_lo_kwh_yr;63.7;26.1;122.1;2146.0;365.0;0.0;0.0;0.0;0.0;True;6452.0;3941.0;True;T2;False;True;False;Unknown;539.0;SLOPE_EXCESS;2253.0;42.2;False;;;;;12.0;True;;
1194992;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
1228011;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;2001_2010;13.0;35.0;1722.0;1479.0;1964.0;485.0;phys_deficiency_lo_kwh_yr;79.3;68.1;90.5;280.0;0.0;1442.0;67.0;134.0;201.0;True;3894.0;2171.0;True;T1;False;True;False;no PV;678.0;SLOPE_EXCESS;1431.0;106.6;False;;;;;15.0;True;;
114117;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1991_2000;7.0;20.0;1775.0;1557.0;2088.0;531.0;phys_deficiency_lo_kwh_yr;77.4;67.9;91.1;813.0;0.0;961.0;118.0;237.0;355.0;True;4067.0;2292.0;True;T1;False;True;True;Unknown;340.0;SLOPE_EXCESS;887.0;37.5;False;;;;;11.0;True;;
758039;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
8627071;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;2001_2010;9.0;35.0;2016.0;1629.0;2496.0;867.0;phys_deficiency_lo_kwh_yr;80.8;65.3;100.1;395.0;179.0;1442.0;68.0;137.0;205.0;True;4509.0;2493.0;True;T2;True;True;True;Unknown;270.0;SLOPE_EXCESS;377.0;19.2;False;;;;;33.0;True;;
867211;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1991_2000;6.0;20.0;2413.0;1839.0;3139.0;1300.0;phys_deficiency_lo_kwh_yr;93.2;71.0;121.2;1213.0;239.0;961.0;0.0;0.0;0.0;True;5003.0;2590.0;True;T2;True;True;False;Unknown;718.0;NO_SLOPE_EXCESS;-1271.0;-38.5;False;;;;;;True;;
