household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_fix;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_fleet;phys_rank_in_era;phys_rank_on;phys_rank_scope;phys_rank_bias_note;phys_rank_value_kwh_yr;phys_rank_value_lo_kwh_yr;phys_rank_excludes_vintage;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_group_house_kwh_yr;phys_group_house_lo_kwh_yr;phys_group_house_hi_kwh_yr;phys_group_house_owner;phys_group_heat_pump_kwh_yr;phys_group_heat_pump_lo_kwh_yr;phys_group_heat_pump_hi_kwh_yr;phys_group_heat_pump_owner;phys_heat_pump_point_is_no_claim;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_term_vintage_kwh_yr;phys_vintage_factor;phys_unit_recommendation;phys_unit_age_years;phys_unit_age_reference_year;phys_unit_service_life_basis;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_appliances_excluded;phys_completeness_tier;phys_geometry_reconciles;phys_pv_level;phys_n_meter_days;phys_hdd_normal_per_day;phys_weather_basis;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_lo_kwh;visit_slope_excess_hi_kwh;visit_slope_excess_pct;visit_step_kwh_day;visit_rank_in_era;visit_never_sum_with_phys_deficiency;visit_hidden_from_building_pages
661091;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;"building data missing: no_footprint;no_storeys";record the missing building data - an auditor can do this;True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
120701;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1976_1990;75.0;23.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";1365.0;1125.0;True;1588.0;1306.0;2297.0;991.0;78.3;64.4;113.2;1365.0;1125.0;2061.0;builder;222.0;159.0;256.0;installer;False;1365.0;0.0;0.0;222.0;0.867;KEEP_IN_LIFE;17.0;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;0.0;0.0;0.0;True;3616.0;2029.0;True;True;T1;True;no PV;576.0;3.717;station normal year (record length does not enter);USES_LESS_THAN_MODELLED;-950.0;-1881.0;-691.0;-31.3;7.17;;True;True
412211;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;meter record too short or lacks season coverage;"none - needs a longer meter record; a visit does not help";True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
706646;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;2001_2010;18.0;5.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2939.0;2718.0;False;2939.0;2718.0;3973.0;1255.0;86.5;80.0;116.9;2939.0;2588.0;3667.0;builder;0.0;6.0;451.0;installer;True;489.0;0.0;2450.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;0.0;0.0;0.0;True;6338.0;3399.0;True;True;T2;True;Unknown;939.0;3.723;station normal year (record length does not enter);INCONCLUSIVE;913.0;-460.0;1584.0;36.1;8.0;;True;True
1078861;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;pre1975;64.0;24.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";1424.0;1387.0;False;1424.0;1387.0;2286.0;900.0;99.1;96.5;159.1;1424.0;1335.0;2056.0;builder;0.0;5.0;313.0;installer;True;1170.0;254.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;18.0;36.0;55.0;True;2862.0;1437.0;True;True;T2;True;PV;393.0;3.723;station normal year (record length does not enter);INCONCLUSIVE;1405.0;-2635.0;4144.0;61.5;9.44;;True;True
190821;physical_baseline_v2;2026-09-17T07:56:10Z;INCONCLUSIVE;band straddles zero - the excess cannot be resolved at this precision;band straddles zero;none - the sources disagree too widely to resolve this one;False;False;post2010;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";41.0;-43.0;False;41.0;-43.0;396.0;439.0;1.9;-2.0;18.3;41.0;-94.0;174.0;builder;0.0;5.0;288.0;installer;True;41.0;0.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;2202.0;2161.0;True;True;T2;True;PV;1292.0;3.717;station normal year (record length does not enter);INCONCLUSIVE;128.0;-395.0;157.0;12.2;4.51;;True;True
105898;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1976_1990;117.0;46.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";851.0;373.0;False;851.0;373.0;2029.0;1655.0;38.3;16.8;91.2;851.0;279.0;1814.0;builder;0.0;8.0;344.0;installer;True;851.0;0.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;37.0;75.0;112.0;True;3076.0;2225.0;True;True;T3;True;Unknown;789.0;3.717;station normal year (record length does not enter);INCONCLUSIVE;759.0;-696.0;1368.0;31.7;20.88;;True;True
889410;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;meter record too short or lacks season coverage;"none - needs a longer meter record; a visit does not help";True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
1178890;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;2001_2010;109.0;21.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";683.0;443.0;False;683.0;443.0;950.0;507.0;28.5;18.5;39.7;476.0;288.0;756.0;builder;207.0;125.0;228.0;installer;False;476.0;0.0;0.0;207.0;0.908;PLAN_REPLACEMENT;15.0;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;71.0;141.0;212.0;True;3077.0;2394.0;True;True;T1;True;Unknown;180.0;3.717;station normal year (record length does not enter);INCONCLUSIVE;138.0;-1402.0;1014.0;5.0;2.98;;True;True
731201;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1976_1990;65.0;15.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2502.0;1340.0;False;2502.0;1340.0;5828.0;4489.0;56.1;30.0;130.7;2502.0;1078.0;5228.0;builder;0.0;17.0;888.0;installer;True;2086.0;417.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;0.0;0.0;0.0;True;6962.0;4459.0;True;True;T3;True;Unknown;539.0;5.349;station normal year (record length does not enter);INCONCLUSIVE;1161.0;-2193.0;2607.0;19.5;15.86;;True;True
