Household_ID;hp_type;hp_install_year;era;unit_age_years;unit_recommendation;term_vintage_kwh;vintage_factor;visit_status;curve_first
661091;ground-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
120701;ground-source;2007.0;1976_1990;17.0;KEEP_IN_LIFE;222.1969150228631;0.8672222222222222;BELOW_PHYSICS;False
412211;air-source;;1991_2000;;RECORD_INSTALL_YEAR;;;;False
706646;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
1078861;ground-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
190821;ground-source;;post2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
105898;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
889410;air-source;;2001_2010;;RECORD_INSTALL_YEAR;;;;False
1178890;air-source;2009.0;2001_2010;15.0;PLAN_REPLACEMENT;207.01443010287755;0.9084444444444445;INCONCLUSIVE;False
731201;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
1194992;air-source;;post2010;;RECORD_INSTALL_YEAR;;;;False
1228011;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
114117;air-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
758039;air-source;2010.0;1976_1990;14.0;PLAN_REPLACEMENT;;;;False
8627071;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
867211;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;BELOW_PHYSICS;False
1114677;air-source;;post2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
611797;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
1137376;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
779742;ground-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
700831;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
1191127;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
121798;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
114671;ground-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
1121037;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
120912;ground-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
9880798;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
680861;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
468185;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
674801;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;;;;False
